storeID, salesPredicition
1.0,6480
24825.0,6888
5993.0,4719
37665.0,7346
18833.0,4878
12841.0,6997
19689.0,5123
857.0,6824
15409.0,0
38521.0,7768
13697.0,7423
7705.0,5086
39377.0,0
20545.0,5410
1713.0,7235
16265.0,4728
33385.0,0
27393.0,0
2569.0,7656
40233.0,4781
21401.0,0
35953.0,6566
34241.0,4768
3425.0,0
22257.0,4742
9417.0,0
30817.0,4895
10273.0,4834
35097.0,6243
23113.0,6223
4281.0,4824
14553.0,7696
8561.0,5374
29961.0,4715
25681.0,7311
5137.0,4710
23969.0,6541
36809.0,6921
17977.0,4696
26537.0,7732
11985.0,6635
6849.0,4866
17121.0,4611
29105.0,4632
32529.0,5427
11129.0,6304
31673.0,5140
28249.0,4755
23970.0,7305
1714.0,8067
24826.0,7660
18834.0,5570
38522.0,8512
5994.0,5282
35954.0,7452
2.0,7358
39378.0,0
4282.0,4843
29106.0,4965
8562.0,6312
9418.0,0
25682.0,8013
19690.0,5913
34242.0,4817
16266.0,4808
22258.0,4811
26538.0,8367
20546.0,6258
10274.0,4846
30818.0,5570
37666.0,8159
33386.0,0
14554.0,8366
858.0,7714
21402.0,0
2570.0,8420
11130.0,7002
5138.0,4996
40234.0,4820
32530.0,6401
36810.0,7806
11986.0,7360
15410.0,0
35098.0,7096
29962.0,5238
23114.0,6948
17978.0,5236
31674.0,6056
28250.0,4814
6850.0,5619
13698.0,8068
27394.0,0
7706.0,5965
17122.0,4958
12842.0,7715
3426.0,0
4283.0,7120
23971.0,9522
24827.0,9852
1715.0,10096
8563.0,8596
5995.0,7706
29107.0,7488
38523.0,10536
34243.0,7086
22259.0,7080
35955.0,9526
3.0,9437
20547.0,8668
39379.0,2004
16267.0,7077
26539.0,10535
23115.0,9209
18835.0,8075
25683.0,10183
37667.0,10186
859.0,9766
17123.0,7481
5139.0,7410
19691.0,8372
9419.0,2155
7707.0,8300
11987.0,9444
10275.0,7123
35099.0,9215
33387.0,2035
14555.0,10387
21403.0,2096
2571.0,10444
11131.0,9133
29963.0,7785
15411.0,2127
28251.0,7083
32531.0,8674
13699.0,10100
36811.0,9856
30819.0,8082
40235.0,7089
6851.0,8003
12843.0,9770
27395.0,2065
17979.0,7778
3427.0,2185
31675.0,8378
860.0,7256
24828.0,7347
5996.0,4807
4284.0,4670
26540.0,8098
23972.0,6997
1716.0,7607
28252.0,4635
4.0,6904
23116.0,6645
37668.0,7698
16268.0,4628
35956.0,6994
11132.0,6549
19692.0,5597
5140.0,4664
22260.0,4631
32532.0,5939
11988.0,6902
30820.0,5243
39380.0,0
10276.0,4673
33388.0,0
14556.0,7937
40236.0,4641
25684.0,7698
6852.0,5150
17124.0,4681
34244.0,4638
15412.0,0
3428.0,0
20548.0,5946
9420.0,0
17980.0,4897
21404.0,0
35100.0,6642
7708.0,5498
8564.0,5847
29108.0,4684
2572.0,7999
29964.0,4892
36812.0,7345
38524.0,8100
27396.0,0
13700.0,7607
31676.0,5592
12844.0,7254
18836.0,5247
16269.0,5937
23973.0,7856
4285.0,5975
11989.0,7940
11133.0,7488
861.0,8374
23117.0,7404
1717.0,8824
5997.0,5898
5.0,7925
17125.0,5837
34245.0,5944
22261.0,5939
21405.0,0
26541.0,9205
9421.0,0
30821.0,6026
10277.0,5977
35101.0,7590
33389.0,0
35957.0,8042
5141.0,5872
12845.0,8388
6853.0,6071
36813.0,8489
20549.0,6634
3429.0,0
32533.0,6775
2573.0,9276
8565.0,6688
24829.0,8304
29109.0,5836
18837.0,6031
25685.0,8753
15413.0,0
40237.0,5946
38525.0,9391
7709.0,6341
17981.0,5863
39381.0,0
27397.0,0
29965.0,5858
31677.0,6417
19693.0,6296
14557.0,9191
28253.0,5942
13701.0,8838
37669.0,8939
24830.0,7204
34246.0,4674
35102.0,6415
10278.0,4720
20550.0,5733
5142.0,4655
16270.0,4652
22262.0,4660
15414.0,0
30822.0,5099
11990.0,6712
6.0,6712
11134.0,6333
8566.0,5650
862.0,7106
29966.0,4828
13702.0,7714
17126.0,4641
26542.0,8096
39382.0,0
1718.0,7539
17982.0,4836
33390.0,0
27398.0,0
29110.0,4653
2574.0,7987
19694.0,5421
40238.0,4681
35958.0,6809
3430.0,0
28254.0,4667
9422.0,0
32534.0,5728
36814.0,7205
18838.0,5106
23118.0,6418
4286.0,4712
14558.0,8094
38526.0,8096
12846.0,7269
6854.0,5026
25686.0,7648
21406.0,0
23974.0,6810
7710.0,5334
37670.0,7648
31678.0,5413
5998.0,4767
5143.0,5925
22263.0,5937
4287.0,6001
26543.0,9561
10279.0,6013
24831.0,8699
27399.0,0
29111.0,5876
18839.0,6172
23975.0,8264
11135.0,7789
25687.0,9132
19695.0,6474
30823.0,6191
13703.0,9104
15415.0,0
33391.0,0
9423.0,0
29967.0,5975
17983.0,5956
14559.0,9367
35959.0,8301
2575.0,9495
8567.0,6789
32535.0,6840
6855.0,6170
863.0,8630
3431.0,0
39383.0,0
23119.0,7824
21407.0,0
20551.0,6815
40239.0,5971
16271.0,5925
7711.0,6444
37671.0,9172
12847.0,8668
28255.0,5948
31679.0,6497
5999.0,5962
36815.0,8737
35103.0,7862
17127.0,5847
1719.0,9066
11991.0,8232
34247.0,5960
7.0,8195
38527.0,9600
33392.0,0
26544.0,9471
15416.0,0
23120.0,7482
9424.0,0
10280.0,6194
3432.0,0
22264.0,6122
35960.0,7999
13704.0,8926
27400.0,0
24832.0,8465
28256.0,6136
25688.0,8967
4288.0,6180
2576.0,9400
7712.0,6048
6856.0,5810
30824.0,5792
5144.0,5999
11136.0,7430
39384.0,0
14560.0,9285
21408.0,0
35104.0,7507
40240.0,6164
31680.0,6104
864.0,8392
20552.0,6482
8568.0,6421
23976.0,7973
29968.0,5753
36816.0,8493
38528.0,9501
17128.0,5846
